feature_id_base,feature_id_ft,cosine_sim,freq_base,freq_ft,freq_shift,category
93,1585,0.1433752,1.7036646e-05,1.7036646e-05,0.0,new_dead
94,2728,0.19825187,6.814658e-05,0.020154351,0.020086205,new_dead
95,684,0.28605294,6.814658e-05,0.03829838,0.038230233,new_dead
96,6128,0.99860305,0.062337086,0.05388691,-0.008450177,stable
97,1715,0.9989981,0.049048502,0.07206501,0.023016509,stable
98,732,0.24147034,0.00010221988,0.003901392,0.0037991721,new_dead
99,453,0.15259334,1.7036646e-05,0.00011925652,0.00010221987,new_dead
100,4644,0.21342912,3.407329e-05,0.00848425,0.008450177,new_dead
101,6001,0.16329321,5.110994e-05,0.06877694,0.06872583,new_dead
102,6106,0.17435399,6.814658e-05,0.031091878,0.031023731,new_dead
103,4664,0.9991096,0.031211136,0.0476515,0.016440364,stable
104,2261,0.9774264,0.49740192,0.60117215,0.103770226,stable
105,4146,0.9844729,0.48017785,0.5816141,0.10143623,stable
106,2561,0.23006111,0.0,0.027514184,0.027514184,new_dead
107,1755,0.17340952,1.7036646e-05,0.019932875,0.01991584,new_dead
108,1860,0.15162285,0.0,0.0,0.0,new_dead
109,531,0.18521291,0.0,0.04093906,0.04093906,new_dead
110,5023,0.17915115,6.814658e-05,0.030904476,0.030836329,new_dead
111,3420,0.18282574,1.7036646e-05,0.03678212,0.036765084,new_dead
112,66,0.9957456,0.609026,0.6836465,0.074620485,stable
113,5933,0.9959512,0.5911375,0.7193724,0.12823486,stable
114,5454,0.18846035,0.00010221988,0.059611224,0.059509005,new_dead
115,5983,0.9880538,0.63631874,0.69122785,0.05490911,stable
116,2799,0.9842955,0.52028215,0.5806089,0.060326755,stable
117,1773,0.96384186,0.2531305,0.18021365,-0.07291685,stable
118,1549,0.9988218,0.07008876,0.05221732,-0.01787144,stable
119,3815,0.9943972,0.6294359,0.78838784,0.15895194,stable
120,3898,0.19375208,6.814658e-05,0.014259673,0.014191526,new_dead
121,1231,0.34012073,0.0,0.01858698,0.01858698,new_dead
122,3158,0.27288553,3.407329e-05,0.022897253,0.02286318,new_dead
123,2976,0.18622342,0.0,0.016218888,0.016218888,new_dead
124,4790,0.24471381,5.110994e-05,0.058895685,0.058844574,new_dead
125,4628,0.99906594,0.037514694,0.052046955,0.014532261,stable
126,1231,0.3356006,3.407329e-05,0.01858698,0.018552907,new_dead
127,4664,0.99911535,0.030989658,0.0476515,0.016661841,stable
128,4758,0.9991009,0.02676457,0.061229706,0.034465134,stable
129,787,0.2359855,0.00011925652,0.010392354,0.010273097,new_dead
130,3276,0.9874002,0.495579,0.50557953,0.010000527,stable
131,3548,0.15873855,8.518323e-05,0.023033544,0.022948362,new_dead
132,2537,0.9873793,0.38683408,0.30611446,-0.08071962,stable
133,2444,0.9987732,0.07734637,0.056714993,-0.020631377,stable
134,1448,0.9989813,0.054687634,0.07235464,0.017667003,stable
135,964,0.17589769,6.814658e-05,0.00023851304,0.00017036646,new_dead
136,4269,0.9991038,0.039729457,0.07429681,0.034567352,stable
137,4150,0.17333749,5.110994e-05,0.009540522,0.0094894115,new_dead
138,2779,0.9873774,0.577883,0.5948856,0.017002583,stable
139,1699,0.98943824,0.6587049,0.768966,0.11026114,stable
140,390,0.19080591,6.814658e-05,0.01945585,0.019387703,new_dead
141,3839,0.2771545,8.518323e-05,0.018723274,0.018638091,new_dead
142,1964,0.9818201,0.6588412,0.81096137,0.15212017,stable
